	0
0	62.0
1	79.0
2	85.0
3	62.0
4	79.0
5	85.0
6	66.0
7	74.0
8	97.0
9	62.0
10	79.0
11	85.0
12	66.0
13	74.0
14	97.0
15	68.0
16	81.0
17	804.0
18	62.0
19	79.0
20	85.0
21	66.0
22	74.0
23	97.0
24	68.0
25	81.0
26	804.0
27	67.0
28	80.0
29	112.0
30	69.0
31	62.0
32	79.0
33	85.0
34	66.0
35	74.0
36	97.0
37	68.0
38	81.0
39	804.0
40	67.0
41	80.0
42	112.0
43	69.0
44	67.0
45	87.0
46	72.0
47	87.0
48	62.0
49	79.0
50	85.0
51	66.0
52	74.0
53	97.0
54	68.0
55	81.0
56	804.0
57	67.0
58	80.0
59	112.0
60	69.0
61	67.0
62	87.0
63	72.0
64	87.0
65	65.0
66	188.0
67	85.0
68	70.0
69	62.0
70	79.0
71	85.0
72	66.0
73	74.0
74	97.0
75	68.0
76	81.0
77	804.0
78	67.0
79	80.0
80	112.0
81	69.0
82	67.0
83	87.0
84	72.0
85	87.0
86	65.0
87	188.0
88	85.0
89	70.0
90	58.0
91	80.0
92	72.0
93	77.0
94	91.0
95	62.0
96	79.0
97	85.0
98	66.0
99	74.0
100	97.0
101	68.0
102	81.0
103	804.0
104	67.0
105	80.0
106	112.0
107	69.0
108	67.0
109	87.0
110	72.0
111	87.0
112	65.0
113	188.0
114	85.0
115	70.0
116	58.0
117	80.0
118	72.0
119	77.0
120	91.0
121	70.0
122	69.0
123	70.0
124	77.0
125	83.0
126	62.0
127	79.0
128	85.0
129	66.0
130	74.0
131	97.0
132	68.0
133	81.0
134	804.0
135	67.0
136	80.0
137	112.0
138	69.0
139	67.0
140	87.0
141	72.0
142	87.0
143	65.0
144	188.0
145	85.0
146	70.0
147	58.0
148	80.0
149	72.0
150	77.0
151	91.0
152	70.0
153	69.0
154	70.0
155	77.0
156	83.0
157	66.0
158	77.0
159	79.0
160	83.0
161	102.0
162	62.0
163	79.0
164	85.0
165	66.0
166	74.0
167	97.0
168	68.0
169	81.0
170	804.0
171	67.0
172	80.0
173	112.0
174	69.0
175	67.0
176	87.0
177	72.0
178	87.0
179	65.0
180	188.0
181	85.0
182	70.0
183	58.0
184	80.0
185	72.0
186	77.0
187	91.0
188	70.0
189	69.0
190	70.0
191	77.0
192	83.0
193	66.0
194	77.0
195	79.0
196	83.0
197	102.0
198	66.0
199	77.0
200	83.0
201	61.0
202	91.0
203	87.0
204	62.0
205	79.0
206	85.0
207	66.0
208	74.0
209	97.0
210	68.0
211	81.0
212	804.0
213	67.0
214	80.0
215	112.0
216	69.0
217	67.0
218	87.0
219	72.0
220	87.0
221	65.0
222	188.0
223	85.0
224	70.0
225	58.0
226	80.0
227	72.0
228	77.0
229	91.0
230	70.0
231	69.0
232	70.0
233	77.0
234	83.0
235	66.0
236	77.0
237	79.0
238	83.0
239	102.0
240	66.0
241	77.0
242	83.0
243	61.0
244	91.0
245	87.0
246	70.0
247	85.0
248	87.0
249	76.0
250	82.0
251	76.0
252	62.0
253	79.0
254	85.0
255	66.0
256	74.0
257	97.0
258	68.0
259	81.0
260	804.0
261	67.0
262	80.0
263	112.0
264	69.0
265	67.0
266	87.0
267	72.0
268	87.0
269	65.0
270	188.0
271	85.0
272	70.0
273	58.0
274	80.0
275	72.0
276	77.0
277	91.0
278	70.0
279	69.0
280	70.0
281	77.0
282	83.0
283	66.0
284	77.0
285	79.0
286	83.0
287	102.0
288	66.0
289	77.0
290	83.0
291	61.0
292	91.0
293	87.0
294	70.0
295	85.0
296	87.0
297	76.0
298	82.0
299	76.0
300	64.0
301	280.0
302	115.0
303	68.0
304	90.0
305	94.0
